mut_1,mut_2,mut_3,count,gene_name_1,gene_name_2,gene_name_3,amenable_1,amenable_2,amenable_3,all_amenable,mouse_variant_1,mouse_variant_2,mouse_variant_3,all_mouse
AACR-H0000643-M01,AACR-H0000136-M01,AACR-H0000118-M01,92,WT1,FLT3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000573-M01,AACR-H0000137-M01,92,GATA2,KRAS,SRSF2,True,False,True,False,True,,True,False
AACR-H0000122-M01,AACR-H0000600-M01,AACR-H0000168-M01,92,PDGFRA,NPM1,NOTCH1,True,True,True,True,True,True,True,True
AACR-H0000600-M01,AACR-H0000168-M01,AACR-H0000136-M01,92,NPM1,NOTCH1,FLT3,True,True,True,True,True,True,True,True
AACR-H0000579-M01,AACR-H0000158-M01,AACR-H0000123-M01,92,PDGFRA,NOTCH1,SMC3,False,True,True,False,,True,True,False
AACR-H0000147-M01,AACR-H0000586-M01,AACR-H0000145-M01,92,NRAS,GATA2,GATA2,True,True,True,True,True,True,True,True
AACR-H0000614-M01,AACR-H0000136-M01,AACR-H0000132-M01,92,GATA2,FLT3,RUNX1,True,True,False,False,True,True,,False
AACR-H0000342-M01,AACR-H0000172-M01,AACR-H0000178-M01,92,CSF3R,CBLB,NOTCH1,False,True,False,False,,True,,False
AACR-H0000251-M01,AACR-H0000133-M01,AACR-H0000325-M01,92,CUX1,CUX1,CBL,True,True,False,False,True,True,,False
AACR-H0000185-M01,AACR-H0000316-M01,AACR-H0000180-M01,92,CSF3R,SF3B1,NOTCH1,True,True,False,False,True,True,,False
AACR-H0000122-M01,AACR-H0000133-M01,AACR-H0000640-M01,92,PDGFRA,CUX1,WT1,True,True,False,False,True,True,,False
AACR-H0000342-M01,AACR-H0000172-M01,AACR-H0000168-M01,92,CSF3R,CBLB,NOTCH1,False,True,True,False,,True,True,False
AACR-H0000122-M01,AACR-H0000251-M01,AACR-H0000325-M01,92,PDGFRA,CUX1,CBL,True,True,False,False,True,True,,False
AACR-H0000128-M01,AACR-H0000393-M01,AACR-H0000215-M01,92,CBLB,JAK2,NOTCH1,False,False,False,False,,,True,False
AACR-H0000640-M01,AACR-H0000118-M01,AACR-H0000132-M01,92,WT1,SRSF2,RUNX1,False,True,False,False,,True,,False
AACR-H0000133-M01,AACR-H0000123-M01,AACR-H0000640-M01,92,CUX1,SMC3,WT1,True,True,False,False,True,True,,False
AACR-H0000147-M01,AACR-H0000579-M01,AACR-H0000142-M01,92,NRAS,PDGFRA,CUX1,True,False,False,False,True,,,False
AACR-H0000345-M01,AACR-H0000215-M01,AACR-H0000137-M01,92,PDGFRA,NOTCH1,SRSF2,False,False,True,False,,True,True,False
AACR-H0000215-M01,AACR-H0000273-M01,AACR-H0000226-M01,92,NOTCH1,JAK3,ZRSR2,False,False,False,False,True,,True,False
AACR-H0000147-M01,AACR-H0000579-M01,AACR-H0000166-M01,92,NRAS,PDGFRA,NOTCH1,True,False,True,False,True,,True,False
AACR-H0000600-M01,AACR-H0000133-M01,AACR-H0000168-M01,92,NPM1,CUX1,NOTCH1,True,True,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000579-M01,AACR-H0000168-M01,92,NRAS,PDGFRA,NOTCH1,True,False,True,False,True,,True,False
